"Name","name:1"
"James Baldwin
",Congress of Racial Equality (CORE)
Lorraine Hansberry,Congress of Racial Equality (CORE)
Sonia Sanchez,The Black Academy of Arts and Letters (TBAAL)
Nikki Giovanni,The Black Academy of Arts and Letters (TBAAL)
Amiri Baraka,The Black Panther Party
Huey P. Newton,The Black Panther Party
"Bobby Seale
",The Black Panther Party
Eldridge Cleaver,The Black Panther Party
Amiri Baraka,The Black Panther Party
Mumia Abu-Jamal,The Black Panther Party
Elaine Brown,The Black Panther Party
John Edgar Wideman,The Philadelphia Association of Black Journalists (PABJ)
Mumia Abu-Jamal,"MOVE (Philadelphia organization)
"
Victor LaValle,Horror Writers Association
Tananarive Due,Horror Writers Association
Rita Dove,"Academy of American Poets
"
W. E. B. Du Bois,The National Association for the Advancement of Colored People (NAACP)
Langston Hughes,The National Association for the Advancement of Colored People (NAACP)
James Weldon Johnson,The National Association for the Advancement of Colored People (NAACP)
"James Baldwin
","Southern Christian Leadership Conference

"
Maya Angelou,"Southern Christian Leadership Conference

"
Amiri Baraka,"Student Nonviolent Coordinating Committee
"
June Jordan,"Student Nonviolent Coordinating Committee
"
Amiri Baraka,"Council of Federated Organizations
"
Gwendolyn Brooks,"Organization of Black American Culture
"
Amiri Baraka,"Organization of Black American Culture
"
Claude McKay,Universal Negro Improvement Association and African Communities League
Zora Neale Hurston,Universal Negro Improvement Association and African Communities League
James Weldon Johnson,National Urban League
Ralph Ellison,National Urban League
Malcolm X,Nation of Islam
Amiri Baraka,Nation of Islam
Cornelius Eady,Cave Canem Foundation
Danez Smith,Cave Canem Foundation
Elaine Brown,The Black Panther Party
Stokely Carmichael,The Black Panther Party
Angela Davis,The Black Panther Party
