"pk_organization","organization_name","number_of_persons"
3,The Black Panther Party,8
8,The National Association for the Advancement of Colored People (NAACP),3
16,Cave Canem Foundation,2
1,Congress of Racial Equality (CORE),2
6,Horror Writers Association,2
15,Nation of Islam,2
14,National Urban League,2
12,"Organization of Black American Culture
",2
9,"Southern Christian Leadership Conference

",2
10,"Student Nonviolent Coordinating Committee
",2
2,The Black Academy of Arts and Letters (TBAAL),2
13,Universal Negro Improvement Association and African Communities League,2
7,"Academy of American Poets
",1
11,"Council of Federated Organizations
",1
5,"MOVE (Philadelphia organization)
",1
4,The Philadelphia Association of Black Journalists (PABJ),1
